paper_id,question_no,qbm_id,bank_id,id
52053211,4,2515782526672897,2,10934320
52053211,5,2534108944384000,18,10934348
52053211,6,2509536578568192,9,10934395
52053211,7,2534133109637120,18,10934429
52053211,8,2534133109669889,18,10934433
52053211,9,2530754038669313,23,10934445
52053211,10,2534952577548289,16,10934454
52053211,11,2534827493253120,11,10934533
52053211,12,2530714954399745,23,10934551
52053211,13,2527005764427776,10,10934600
52053211,14,2531180850528256,2,10934612
52053211,15,2515758460796928,2,10934748
52053211,16,2534081458257920,18,10934759
52053211,17,2534907554226176,14,10934809
52053211,18,2517047456489472,2,10934873
52053211,19,2533909764988929,25,10934943
52053211,20,2515850102693889,2,10934971
52053211,21,2516099782795264,2,10935041
52053211,22,2527026070306816,10,10935085
52058690,1,2531056503078913,23,10935095
52058690,2,2531056503136256,23,10935103
52058690,3,2521535039184897,16,10935150
52058690,4,2521535039307776,16,10935169
52058690,5,2534990644928512,7,10935268
52058690,6,2534990644953089,7,10935274
52058690,7,2534990644977664,7,10935278
52058690,8,2533936781000704,24,10935292
52058690,9,2533991487660032,8,10935326
52058690,10,2533991487684608,8,10935329
52058690,11,2533991487717377,8,10935332
52058690,12,2521479013859329,16,10935357
52058690,13,2521519519080449,16,10935398
52058690,14,2502337536933888,17,10935410
52058690,15,2521816084758528,3,10935434
52058690,16,2521816084873217,3,10935445
52058690,17,2517077051351040,2,10935496
52058690,18,2529587272712192,11,10935571
52058690,19,2515382190145536,2,10935666
52058690,20,2516396139175938,13,10935708
52058690,21,2516173090136064,2,10935786
52071159,1,2526340489355264,10,10935914
52071159,2,2526340489371648,10,10935917
52071159,3,2530545987280896,23,10936052
52071159,4,2518659346202624,13,10936087
52071159,5,2518633493790720,13,10936133
52071159,6,2531200208273408,7,10936142
52071159,7,2534922642751489,8,10936191
52071159,8,2534922642882561,8,10936215
52071159,9,2533383153917953,25,10936277
52071159,10,2534087301341184,25,10936286
52071159,11,2531928871124992,7,10936336
52071159,12,2509110451675136,9,10936397
52071159,13,2521171141771264,17,10936489
52071159,14,2509047848845312,2,10936569
52071159,15,2508554798891008,2,10936619
52071159,16,2526276868898816,23,10936640
52071159,17,2525766277054464,10,10936654
52071159,18,2525730648932352,10,10936658
52071159,19,2526772189413376,1,10936712
52071159,20,2525460347437057,23,10936744
52071159,21,2496636336037888,13,10936781
52071159,22,2526432298262528,2,10936807
52081353,1,2525748137705473,10,10936863
52081353,2,2498681249349632,17,10936888
52081353,3,2516126398431232,5,10936928
52081353,4,2516126398464000,5,10936930
52081353,5,2527674439180288,7,10937007
52081353,6,2527674439188480,7,10937009
52081353,7,2527674439196672,7,10937011
52081353,8,2531452551806976,15,10937056
52081353,9,2510040948178945,9,10937098
52081353,10,2527541370421249,18,10937134
52081353,11,2527524605255680,8,10937150
52081353,12,2526101642149888,23,10937160
52081353,13,2493594204995584,5,10937209
52081353,14,2526962004230144,23,10937214
52081353,15,2526962004238336,23,10937215
52081353,16,2527810748121089,32,10937240
52081353,17,2527919045525505,32,10937358
52081353,18,2527502153703425,8,10937395
52081353,19,2503012619116545,17,10937516
52081353,20,2531176205934592,15,10937632
52142717,1,2527453292142592,24,10937691
52142717,2,2527013680226304,12,10937726
52142717,3,2524372956651520,14,10937767
52142717,4,2524372956676096,14,10937769
52142717,5,2522571120123904,10,10937786
52142717,6,2523936121159680,7,10937807
52142717,7,2524406349676544,14,10937834
52142717,8,2524000422600704,11,10937859
52142717,9,2531170846384130,15,10937882
52142717,10,2447694127529984,14,10937944
52142717,11,2522635181424640,12,10937969
52142717,12,2521082568638464,10,10937997
52142717,13,2523215077072897,10,10938001
52142717,14,2510699612397569,27,10938041
52142717,15,2510572088025089,27,10938093
52142717,16,2510586355466240,27,10938102
52142717,17,2510586355515392,27,10938105
52142717,18,2513069881016321,31,10938158
52142717,19,2521261943488513,32,10938213
52142717,20,2521261943504897,32,10938215
52142717,21,2522166029975552,3,10938264
52142717,22,2522166030082048,3,10938284
52171754,1,2522166030131200,3,10938297
52171754,2,2496424395784192,4,10938303
52171754,3,2496424395841536,4,10938307
52171754,4,2496424395931648,4,10938319
52171754,5,2520728227217408,24,10938370
52171754,6,2521306602717184,3,10938430
52171754,7,2488048101482496,5,10938471
52171754,8,2488048101539840,5,10938480
52171754,9,2531205436456960,15,10938538
52171754,10,2531784758992897,15,10938626
52171754,11,2529871860899840,26,10938660
52171754,12,2534962587402240,16,10938669
52171754,13,2516965046362112,2,10938699
52171754,14,2526953388441600,3,10938737
52171754,15,2526953388449792,3,10938738
52171754,16,2516312487952384,2,10938822
52171754,17,2532132050632704,1,10938866
52171754,18,2505272901689345,25,10938916
52171754,19,2504550635225088,25,10938962
52171754,20,2531187307175936,23,10938992
52171754,21,2534657133453313,23,10939060
52171754,22,2529840718708736,26,10939119
52278976,1,2526074077323264,2,10939191
52278976,2,2530995658391552,11,10939300
52278976,3,2516088613650432,2,10939361
52278976,4,2516368300605440,2,10939490
52278976,5,2531173719154688,15,10939628
52278976,6,2533899398938624,25,10939632
52278976,7,2530457733373953,23,10939723
52278976,8,2521516020670465,16,10939740
52278976,9,2505720499200000,3,10939851
52278976,10,2534928063315968,14,10939935
52278976,11,2534928063332352,14,10939937
52278976,12,2534928063348736,14,10939939
52278976,13,2535352995643392,3,10939956
52278976,14,2505689466929152,3,10940031
52278976,15,2534793522700291,6,10940117
52278976,16,2518995278667776,13,10940187
52278976,17,2518995278790656,13,10940200
52278976,18,2533245679542273,12,10940214
52278976,19,2531372797026304,11,10940216
52303779,1,2533245679681536,12,10940237
52303779,2,2533245679919104,12,10940275
52303779,3,2534956550938625,14,10940317
52303779,4,2531328071270400,15,10940358
52303779,5,2531328071319552,15,10940367
52303779,6,2531191398899712,15,10940425
52303779,7,2531191398998017,15,10940431
52303779,8,2518682294853632,13,10940464
52303779,9,2531885660438528,15,10940521
52303779,10,2505971417538561,3,10940690
52303779,11,2531448665595905,16,10940748
52303779,12,2521951761817600,16,10940828
52303779,13,2521951761825793,16,10940830
52303779,14,2534808349696000,6,10940854
52303779,15,2530463718195201,1,10940873
52303779,16,2534743694467072,11,10940903
52303779,17,2535507591438336,2,10940910
52303779,18,2535482102251520,2,10940913
52303779,19,2517548059762688,2,10941055
52303779,20,2534880702996480,14,10941074
52303779,21,2535389340696578,7,10941109
52303779,22,,14,10941136
52413844,1,,14,10941159
52413844,2,2510062806900736,9,10941209
52413844,3,2535558169952256,18,10941244
52413844,4,2531388142075904,16,10941258
52413844,5,2531701071519745,16,10941466
52413844,6,2535461893799937,12,10941529
52413844,7,2510067919536129,9,10941537
52413844,8,2530583762747392,17,10941551
52413844,9,2530690781405185,16,10941758
52413844,10,2503708187426816,17,10941785
52413844,11,2496468793073664,5,10941802
52413844,12,2503702645268480,17,10941839
52413844,13,2534853495635968,6,10942053
52413844,14,2503643760205825,17,10942075
52413844,15,2534619644641280,16,10942094
52413844,16,2507091542761472,3,10942102
52413844,17,2509308567650304,9,10942133
52413844,18,2531254605291520,11,10942135
52413844,19,2531254605660160,11,10942148
52413844,20,2531258342572032,11,10942262
52413844,21,2505195633115136,3,10942416
52413844,22,2534868297801728,8,10942549
52413844,23,2534868297842689,8,10942553
52413844,24,2534868297900032,8,10942561
52413844,25,2530060390408192,11,10942585
52413844,26,2535447017160705,12,10942614
52530263,1,2529352429969408,11,10942742
52530263,2,2535354998784000,7,10942883
52530263,3,,11,10942947
52530263,4,,0,10985724
52530263,5,2534818142453760,18,10943025
52530263,6,2496521174663168,5,10943085
52530263,7,2496511393808384,5,10943116
52555904,1,2534614452518913,12,10943166
52555904,2,2533899250868225,24,10943179
52555904,3,2534631775305728,24,10943203
52555904,4,2522232277590016,16,10943220
52555904,5,2496737958731776,5,10943258
52555904,6,2496737958789120,5,10943268
52555904,7,2517005139763200,2,10943285
52555904,8,2517093711519744,2,10943352
52555904,9,2517644426059776,2,10943414
52555904,10,2534022166577152,24,10943446
52555904,11,2535551498969088,7,10943480
52555904,12,2533912900526081,24,10943491
52555904,13,2527612720119808,10,10943560
52555904,14,2535408746233857,17,10943584
52555904,15,2500869725478912,17,10943628
52555904,16,2517137996333056,2,10943648
52555904,17,2535508318289921,7,10943656
52555904,18,2535508318314496,7,10943661
52555904,19,2535508318355456,7,10943666
52555904,20,2531096565096449,10,10943716
52555904,21,2535684796416001,7,10943779
52601499,1,2535684796465152,7,10943787
52601499,2,2519731482304512,13,10943815
52601499,3,2530640511991809,17,10943901
52601499,4,2531831964942338,15,10943994
52601499,5,2519669108342784,13,10944008
52601499,6,2534902598049792,8,10944041
52601499,7,2534902598098944,8,10944055
52601499,8,2534207911575552,25,10944065
52601499,9,2533471841558529,23,10944156
52601499,10,2515842018877440,13,10944177
52601499,11,2515878043312129,13,10944279
52601499,12,2535991147020289,13,10944364
52601499,13,2515142829678592,2,10944390
52601499,14,2515142829703169,2,10944394
52601499,15,2496672075276288,5,10944415
52601499,16,2504382970888193,17,10944462
52601499,17,2504382971101185,17,10944478
52601499,18,2535495278174208,12,10944491
52601499,19,2535714468315136,7,10944524
52601872,1,2533367810990080,12,10944631
52601872,2,2527157522096128,11,10944704
